description,category,amount,date
Bought vegetables and fruits,Groceries,4227,01-02-2024
Breakfast at cafe,Dining,563,02-02-2024
Train ticket purchase,Travel,1970,02-02-2024
Grocery shopping at local store,Groceries,3644,03-02-2024
Life insurance policy,Insurance,4891,03-02-2024
Gas connection charges,Utilities,1459,03-02-2024
Amusement park visit,Entertainment,4852,04-02-2024
Purchased a handbag,Shopping,4616,04-02-2024
Rent for PG,Rent,3240,04-02-2024
Online shopping on Amazon,Shopping,4541,05-02-2024
Rent for PG,Rent,1605,05-02-2024
Lunch with friends,Dining,854,05-02-2024
Lunch with friends,Dining,1329,06-02-2024
Swiggy food order,Dining,3627,06-02-2024
Room rent payment,Rent,2951,07-02-2024
Life insurance policy,Insurance,1437,07-02-2024
Dinner at KFC,Dining,4738,07-02-2024
Tuition fees payment,Education,2811,08-02-2024
Water bill payment,Utilities,2729,08-02-2024
Game purchase,Entertainment,2156,08-02-2024
Insurance renewal,Insurance,4273,09-02-2024
Uber ride to office,Transport,4881,09-02-2024
Bought college books,Education,2818,09-02-2024
Purchased milk and bread,Groceries,4003,10-02-2024
Hotel reservation,Travel,3236,10-02-2024
Internet subscription,Utilities,3330,11-02-2024
Taxi to airport,Transport,2623,11-02-2024
Tuition fees payment,Education,4666,11-02-2024
Purchased milk and bread,Groceries,2649,12-02-2024
Monthly rent for apartment,Rent,4083,12-02-2024
Paid health insurance premium,Insurance,286,12-02-2024
Room rent payment,Rent,1354,13-02-2024
Paid health insurance premium,Insurance,3480,13-02-2024
Paid house rent,Rent,1351,14-02-2024
Clothes shopping,Shopping,2591,14-02-2024
Purchased milk and bread,Groceries,2101,14-02-2024
Uber ride to office,Transport,491,15-02-2024
Paid health insurance premium,Insurance,2126,15-02-2024
Doctor consultation,Medical,3230,15-02-2024
Filled petrol,Transport,2707,16-02-2024
Purchased a handbag,Shopping,3848,16-02-2024
Haircut at salon,Personal Care,854,16-02-2024
Course enrollment fee,Education,124,17-02-2024
Taxi to airport,Transport,2225,17-02-2024
Bought medicines,Medical,3974,18-02-2024
Purchased milk and bread,Groceries,2139,18-02-2024
Manicure session,Personal Care,90,18-02-2024
Spotify premium payment,Entertainment,2131,19-02-2024
Bought vegetables and fruits,Groceries,4733,19-02-2024
Amusement park visit,Entertainment,1672,19-02-2024
Bus fare,Transport,391,20-02-2024
Course enrollment fee,Education,4102,20-02-2024
Bought vegetables and fruits,Groceries,2124,20-02-2024
Filled petrol,Transport,695,21-02-2024
Exam registration fee,Education,4876,21-02-2024
Dental check-up,Medical,4313,22-02-2024
Bought rice and lentils,Groceries,659,22-02-2024
Bus fare,Transport,504,22-02-2024
Hotel reservation,Travel,3003,23-02-2024
Dinner at KFC,Dining,1758,23-02-2024
Doctor consultation,Medical,3522,23-02-2024
Game purchase,Entertainment,3019,24-02-2024
Hotel reservation,Travel,3078,24-02-2024
Clothes shopping,Shopping,4847,24-02-2024
Lunch with friends,Dining,2731,25-02-2024
Monthly rent for apartment,Rent,3679,25-02-2024
Gas connection charges,Utilities,4275,26-02-2024
Exam registration fee,Education,3117,26-02-2024
Train ticket purchase,Travel,1436,26-02-2024
Spotify premium payment,Entertainment,3826,27-02-2024
Hotel reservation,Travel,2916,27-02-2024
Game purchase,Entertainment,4838,27-02-2024
Online shopping on Amazon,Shopping,3413,28-02-2024
Room rent payment,Rent,4939,28-02-2024
Home insurance premium,Insurance,4174,28-02-2024
Course enrollment fee,Education,198,29-02-2024
Amusement park visit,Entertainment,3900,29-02-2024
Netflix subscription,Entertainment,2108,01-03-2024
Breakfast at cafe,Dining,1186,01-03-2024
Bought medicines,Medical,236,01-03-2024
Eye test at optician,Medical,2904,02-03-2024
Cab booking for trip,Travel,1300,02-03-2024
Home insurance premium,Insurance,1383,02-03-2024
Taxi to airport,Transport,4243,03-03-2024
Dental check-up,Medical,4200,03-03-2024
Rent for PG,Rent,2761,03-03-2024
Bought new shoes,Shopping,4903,04-03-2024
Water bill payment,Utilities,4551,04-03-2024
Manicure session,Personal Care,1835,05-03-2024
Tuition fees payment,Education,800,05-03-2024
Metro card recharge,Transport,1812,05-03-2024
Room rent payment,Rent,3970,06-03-2024
Cab booking for trip,Travel,4510,06-03-2024
Bought rice and lentils,Groceries,531,06-03-2024
Course enrollment fee,Education,203,07-03-2024
Game purchase,Entertainment,1574,07-03-2024
Amusement park visit,Entertainment,2170,08-03-2024
Uber ride to office,Transport,2393,08-03-2024
Lunch with friends,Dining,1290,08-03-2024
Metro card recharge,Transport,110,09-03-2024
Hotel reservation,Travel,988,09-03-2024
Metro card recharge,Transport,1689,09-03-2024
Online course subscription,Education,4170,10-03-2024
Cab booking for trip,Travel,4276,10-03-2024
Car insurance payment,Insurance,3619,10-03-2024
Paid house rent,Rent,1302,11-03-2024
Bought rice and lentils,Groceries,4253,11-03-2024
Taxi to airport,Transport,221,12-03-2024
Cab booking for trip,Travel,1508,12-03-2024
Gas connection charges,Utilities,3599,12-03-2024
Bought medicines,Medical,4247,13-03-2024
Bus fare,Transport,2372,13-03-2024
Cab booking for trip,Travel,1686,13-03-2024
Cab booking for trip,Travel,3165,14-03-2024
Breakfast at cafe,Dining,4140,14-03-2024
Amusement park visit,Entertainment,3054,14-03-2024
Tuition fees payment,Education,379,15-03-2024
Bought new shoes,Shopping,3690,15-03-2024
Advance rent for flat,Rent,3944,16-03-2024
Bought vegetables and fruits,Groceries,4157,16-03-2024
Paid house rent,Rent,1391,16-03-2024
Home insurance premium,Insurance,3713,17-03-2024
Purchased milk and bread,Groceries,265,17-03-2024
Swiggy food order,Dining,388,17-03-2024
Uber ride to office,Transport,4112,18-03-2024
Exam registration fee,Education,2758,18-03-2024
Bought new shoes,Shopping,3202,18-03-2024
Eye test at optician,Medical,1800,19-03-2024
Water bill payment,Utilities,2471,19-03-2024
Internet subscription,Utilities,759,20-03-2024
Insurance renewal,Insurance,3776,20-03-2024
Gas connection charges,Utilities,3692,20-03-2024
Breakfast at cafe,Dining,4043,21-03-2024
Hotel reservation,Travel,538,21-03-2024
Bought rice and lentils,Groceries,96,21-03-2024
Rent for PG,Rent,3409,22-03-2024
Room rent payment,Rent,4923,22-03-2024
Dental check-up,Medical,4856,22-03-2024
Swiggy food order,Dining,450,23-03-2024
Filled petrol,Transport,4040,23-03-2024
Paid house rent,Rent,3207,24-03-2024
Flight booking to Delhi,Travel,4395,24-03-2024
Bought shampoo and soap,Personal Care,440,24-03-2024
Hotel reservation,Travel,3903,25-03-2024
Bought shampoo and soap,Personal Care,4480,25-03-2024
Health checkup,Medical,678,25-03-2024
Bought vegetables and fruits,Groceries,4282,26-03-2024
Clothes shopping,Shopping,2980,26-03-2024
Spotify premium payment,Entertainment,1571,27-03-2024
Monthly rent for apartment,Rent,876,27-03-2024
Purchased a handbag,Shopping,4872,27-03-2024
Gas connection charges,Utilities,1550,28-03-2024
Train ticket purchase,Travel,3344,28-03-2024
Hotel reservation,Travel,2469,28-03-2024
Dental check-up,Medical,984,29-03-2024
Health checkup,Medical,3092,29-03-2024
Dinner at KFC,Dining,4547,29-03-2024
Bought a watch,Shopping,1516,30-03-2024
Spotify premium payment,Entertainment,3611,30-03-2024
Movie tickets,Entertainment,664,31-03-2024
Online course subscription,Education,1232,31-03-2024
Home insurance premium,Insurance,3273,31-03-2024
Life insurance policy,Insurance,2717,01-04-2024
Bought vegetables and fruits,Groceries,180,01-04-2024
Lunch with friends,Dining,3033,01-04-2024
Bought college books,Education,4328,02-04-2024
Grocery shopping at local store,Groceries,4509,02-04-2024
Online course subscription,Education,88,02-04-2024
Breakfast at cafe,Dining,4009,03-04-2024
Bought a watch,Shopping,3637,03-04-2024
Lunch with friends,Dining,970,04-04-2024
Ordered pizza,Dining,2819,04-04-2024
Haircut at salon,Personal Care,4161,04-04-2024
Manicure session,Personal Care,542,05-04-2024
Filled petrol,Transport,1181,05-04-2024
Mobile recharge,Utilities,3571,05-04-2024
Facial treatment,Personal Care,360,06-04-2024
Manicure session,Personal Care,788,06-04-2024
Clothes shopping,Shopping,3291,06-04-2024
Room rent payment,Rent,595,07-04-2024
Home insurance premium,Insurance,2511,07-04-2024
Lunch with friends,Dining,4396,08-04-2024
Lunch with friends,Dining,4904,08-04-2024
Grocery shopping at local store,Groceries,1854,08-04-2024
Life insurance policy,Insurance,3262,09-04-2024
Online course subscription,Education,3860,09-04-2024
Doctor consultation,Medical,863,09-04-2024
Exam registration fee,Education,4174,10-04-2024
Manicure session,Personal Care,2082,10-04-2024
Bought shampoo and soap,Personal Care,4622,10-04-2024
Spotify premium payment,Entertainment,4463,11-04-2024
Gas connection charges,Utilities,294,11-04-2024
Bought college books,Education,4893,12-04-2024
Insurance renewal,Insurance,4842,12-04-2024
Mobile recharge,Utilities,321,12-04-2024
Manicure session,Personal Care,3561,13-04-2024
Ordered pizza,Dining,1821,13-04-2024
Cab booking for trip,Travel,1312,13-04-2024
Online course subscription,Education,2474,14-04-2024
Insurance renewal,Insurance,4411,14-04-2024
Purchased a handbag,Shopping,970,14-04-2024
Mobile recharge,Utilities,3480,15-04-2024
Manicure session,Personal Care,4485,15-04-2024
Swiggy food order,Dining,4534,16-04-2024
Online shopping on Amazon,Shopping,2674,16-04-2024
Paid electricity bill,Utilities,3810,16-04-2024
Gas connection charges,Utilities,2100,17-04-2024
Movie tickets,Entertainment,3550,17-04-2024
Weekly grocery run,Groceries,1215,17-04-2024
Bought new shoes,Shopping,425,18-04-2024
Home insurance premium,Insurance,2083,18-04-2024
Filled petrol,Transport,195,19-04-2024
Bus fare,Transport,4438,19-04-2024
Bus fare,Transport,481,19-04-2024
Grocery shopping at local store,Groceries,754,20-04-2024
Skincare products,Personal Care,2682,20-04-2024
Cab booking for trip,Travel,4544,20-04-2024
Movie tickets,Entertainment,1013,21-04-2024
Rent for PG,Rent,2284,21-04-2024
Water bill payment,Utilities,2091,21-04-2024
Breakfast at cafe,Dining,1878,22-04-2024
Paid electricity bill,Utilities,2158,22-04-2024
Grocery shopping at local store,Groceries,4118,23-04-2024
Paid electricity bill,Utilities,988,23-04-2024
Tuition fees payment,Education,4855,23-04-2024
Ordered pizza,Dining,856,24-04-2024
Lunch with friends,Dining,1513,24-04-2024
Eye test at optician,Medical,3465,24-04-2024
Room rent payment,Rent,60,25-04-2024
Cab booking for trip,Travel,1918,25-04-2024
Bought shampoo and soap,Personal Care,4917,25-04-2024
Taxi to airport,Transport,934,26-04-2024
Car insurance payment,Insurance,3614,26-04-2024
Course enrollment fee,Education,1439,27-04-2024
Hotel reservation,Travel,3451,27-04-2024
Flight booking to Delhi,Travel,4371,27-04-2024
Paid health insurance premium,Insurance,874,28-04-2024
Grocery shopping at local store,Groceries,2315,28-04-2024
Ordered pizza,Dining,986,28-04-2024
Cab booking for trip,Travel,2850,29-04-2024
Course enrollment fee,Education,2603,29-04-2024
Cab booking for trip,Travel,3895,29-04-2024
Tuition fees payment,Education,1846,30-04-2024
Ordered pizza,Dining,103,30-04-2024
Internet subscription,Utilities,776,01-05-2024
Bus fare,Transport,2786,01-05-2024
Doctor consultation,Medical,3220,01-05-2024
Amusement park visit,Entertainment,1963,02-05-2024
Rent for PG,Rent,1646,02-05-2024
Tuition fees payment,Education,1964,02-05-2024
Monthly rent for apartment,Rent,2516,03-05-2024
Train ticket purchase,Travel,2787,03-05-2024
Hotel reservation,Travel,899,03-05-2024
Water bill payment,Utilities,2159,04-05-2024
Skincare products,Personal Care,52,04-05-2024
Ordered pizza,Dining,4305,05-05-2024
Bought rice and lentils,Groceries,4119,05-05-2024
Facial treatment,Personal Care,4926,05-05-2024
Haircut at salon,Personal Care,942,06-05-2024
Rent for PG,Rent,2080,06-05-2024
Cab booking for trip,Travel,3210,06-05-2024
Advance rent for flat,Rent,2426,07-05-2024
Course enrollment fee,Education,4725,07-05-2024
Bought shampoo and soap,Personal Care,1983,07-05-2024
Bus fare,Transport,1430,08-05-2024
Course enrollment fee,Education,3731,08-05-2024
Tuition fees payment,Education,1340,09-05-2024
Monthly rent for apartment,Rent,1690,09-05-2024
Rent for PG,Rent,2732,09-05-2024
Online shopping on Amazon,Shopping,1037,10-05-2024
Bus fare,Transport,1268,10-05-2024
Manicure session,Personal Care,1405,10-05-2024
Bought college books,Education,4315,11-05-2024
Spotify premium payment,Entertainment,4666,11-05-2024
Tuition fees payment,Education,4185,12-05-2024
Gas connection charges,Utilities,1610,12-05-2024
Bought shampoo and soap,Personal Care,1468,12-05-2024
Clothes shopping,Shopping,1004,13-05-2024
Water bill payment,Utilities,1033,13-05-2024
Manicure session,Personal Care,1024,13-05-2024
Flight booking to Delhi,Travel,4183,14-05-2024
Bought medicines,Medical,4022,14-05-2024
Haircut at salon,Personal Care,963,14-05-2024
Travel package booking,Travel,4599,15-05-2024
Doctor consultation,Medical,86,15-05-2024
Bought rice and lentils,Groceries,3437,16-05-2024
Insurance renewal,Insurance,1761,16-05-2024
Insurance renewal,Insurance,3070,16-05-2024
Grocery shopping at local store,Groceries,845,17-05-2024
Dental check-up,Medical,4086,17-05-2024
Filled petrol,Transport,4738,17-05-2024
Bought medicines,Medical,3161,18-05-2024
Gas connection charges,Utilities,1374,18-05-2024
Course enrollment fee,Education,367,18-05-2024
Mobile recharge,Utilities,2446,19-05-2024
Course enrollment fee,Education,2212,19-05-2024
Paid health insurance premium,Insurance,2795,20-05-2024
Game purchase,Entertainment,1641,20-05-2024
Cab booking for trip,Travel,3161,20-05-2024
Internet subscription,Utilities,3980,21-05-2024
Bought new shoes,Shopping,2046,21-05-2024
Metro card recharge,Transport,1362,21-05-2024
Flight booking to Delhi,Travel,1335,22-05-2024
Bus fare,Transport,4361,22-05-2024
Purchased a handbag,Shopping,2433,22-05-2024
Game purchase,Entertainment,3289,23-05-2024
Flight booking to Delhi,Travel,2189,23-05-2024
Mobile recharge,Utilities,1754,24-05-2024
Purchased milk and bread,Groceries,412,24-05-2024
Filled petrol,Transport,2654,24-05-2024
Bought shampoo and soap,Personal Care,1766,25-05-2024
Game purchase,Entertainment,4501,25-05-2024
Cab booking for trip,Travel,4336,25-05-2024
Paid health insurance premium,Insurance,3788,26-05-2024
Bought a watch,Shopping,2519,26-05-2024
Internet subscription,Utilities,4845,26-05-2024
Room rent payment,Rent,606,27-05-2024
Facial treatment,Personal Care,875,27-05-2024
Mobile recharge,Utilities,2858,28-05-2024
Mobile recharge,Utilities,4571,28-05-2024
Exam registration fee,Education,2769,28-05-2024
Home insurance premium,Insurance,3558,29-05-2024
Purchased milk and bread,Groceries,3791,29-05-2024
Manicure session,Personal Care,1624,29-05-2024
Movie tickets,Entertainment,4048,30-05-2024
Paid electricity bill,Utilities,2179,30-05-2024
Lunch with friends,Dining,2453,31-05-2024
Amusement park visit,Entertainment,3379,31-05-2024
Eye test at optician,Medical,638,31-05-2024
Game purchase,Entertainment,2062,01-06-2024
Online course subscription,Education,1597,01-06-2024
Paid electricity bill,Utilities,344,01-06-2024
Skincare products,Personal Care,2035,02-06-2024
Hotel reservation,Travel,3167,02-06-2024
Movie tickets,Entertainment,1740,02-06-2024
Health checkup,Medical,1186,03-06-2024
Advance rent for flat,Rent,2114,03-06-2024
Bought shampoo and soap,Personal Care,4505,04-06-2024
Weekly grocery run,Groceries,4845,04-06-2024
Haircut at salon,Personal Care,4593,04-06-2024
Metro card recharge,Transport,4820,05-06-2024
Exam registration fee,Education,1057,05-06-2024
Facial treatment,Personal Care,2564,05-06-2024
Online course subscription,Education,3576,06-06-2024
Advance rent for flat,Rent,4731,06-06-2024
Tuition fees payment,Education,1297,06-06-2024
Internet subscription,Utilities,3952,07-06-2024
Health checkup,Medical,1485,07-06-2024
Cab booking for trip,Travel,621,08-06-2024
Insurance renewal,Insurance,2432,08-06-2024
Flight booking to Delhi,Travel,1295,08-06-2024
Manicure session,Personal Care,2134,09-06-2024
Paid electricity bill,Utilities,327,09-06-2024
Online course subscription,Education,1937,09-06-2024
Movie tickets,Entertainment,4629,10-06-2024
Spotify premium payment,Entertainment,1315,10-06-2024
Travel package booking,Travel,4876,10-06-2024
Room rent payment,Rent,1090,11-06-2024
Game purchase,Entertainment,967,11-06-2024
Water bill payment,Utilities,935,12-06-2024
Car insurance payment,Insurance,2802,12-06-2024
Eye test at optician,Medical,71,12-06-2024
Exam registration fee,Education,4619,13-06-2024
Online shopping on Amazon,Shopping,3241,13-06-2024
Taxi to airport,Transport,2403,13-06-2024
Monthly rent for apartment,Rent,4849,14-06-2024
Clothes shopping,Shopping,736,14-06-2024
Facial treatment,Personal Care,334,14-06-2024
Gas connection charges,Utilities,4861,15-06-2024
Monthly rent for apartment,Rent,3797,15-06-2024
Life insurance policy,Insurance,812,16-06-2024
Haircut at salon,Personal Care,2478,16-06-2024
Dinner at KFC,Dining,2557,16-06-2024
Lunch with friends,Dining,78,17-06-2024
Movie tickets,Entertainment,956,17-06-2024
Bought college books,Education,3154,17-06-2024
Metro card recharge,Transport,4049,18-06-2024
Netflix subscription,Entertainment,3044,18-06-2024
Taxi to airport,Transport,2556,18-06-2024
Bought a watch,Shopping,4715,19-06-2024
Mobile recharge,Utilities,3659,19-06-2024
Manicure session,Personal Care,3603,20-06-2024
Exam registration fee,Education,1503,20-06-2024
Mobile recharge,Utilities,4883,20-06-2024
Train ticket purchase,Travel,3406,21-06-2024
Bought college books,Education,565,21-06-2024
Amusement park visit,Entertainment,88,21-06-2024
Bought vegetables and fruits,Groceries,3392,22-06-2024
Online course subscription,Education,936,22-06-2024
Clothes shopping,Shopping,2894,23-06-2024
Life insurance policy,Insurance,2254,23-06-2024
Filled petrol,Transport,1148,23-06-2024
Grocery shopping at local store,Groceries,1873,24-06-2024
Purchased milk and bread,Groceries,3251,24-06-2024
Purchased milk and bread,Groceries,3205,24-06-2024
Paid house rent,Rent,3143,25-06-2024
Facial treatment,Personal Care,3580,25-06-2024
Lunch with friends,Dining,3828,25-06-2024
Game purchase,Entertainment,2946,26-06-2024
Ordered pizza,Dining,3503,26-06-2024
Internet subscription,Utilities,3561,27-06-2024
Internet subscription,Utilities,1038,27-06-2024
Doctor consultation,Medical,4166,27-06-2024
Skincare products,Personal Care,4076,28-06-2024
Online course subscription,Education,4229,28-06-2024
Ordered pizza,Dining,1732,28-06-2024
Advance rent for flat,Rent,4715,29-06-2024
Monthly rent for apartment,Rent,4013,29-06-2024
Cab booking for trip,Travel,983,29-06-2024
Monthly rent for apartment,Rent,3648,30-06-2024
Skincare products,Personal Care,3283,30-06-2024
Online shopping on Amazon,Shopping,2030,01-07-2024
Dinner at KFC,Dining,1905,01-07-2024
Life insurance policy,Insurance,3106,01-07-2024
Spotify premium payment,Entertainment,842,02-07-2024
Movie tickets,Entertainment,841,02-07-2024
Ordered pizza,Dining,1859,02-07-2024
Lunch with friends,Dining,2305,03-07-2024
Weekly grocery run,Groceries,3660,03-07-2024
Tuition fees payment,Education,1657,03-07-2024
Purchased milk and bread,Groceries,1034,04-07-2024
Eye test at optician,Medical,3726,04-07-2024
Metro card recharge,Transport,3430,05-07-2024
Bought vegetables and fruits,Groceries,569,05-07-2024
Car insurance payment,Insurance,640,05-07-2024
Movie tickets,Entertainment,1100,06-07-2024
Life insurance policy,Insurance,3683,06-07-2024
Skincare products,Personal Care,4494,06-07-2024
Manicure session,Personal Care,1009,07-07-2024
Facial treatment,Personal Care,742,07-07-2024
Amusement park visit,Entertainment,3949,07-07-2024
Advance rent for flat,Rent,4523,08-07-2024
Bought shampoo and soap,Personal Care,2996,08-07-2024
Netflix subscription,Entertainment,576,09-07-2024
Life insurance policy,Insurance,3274,09-07-2024
Dinner at KFC,Dining,2303,09-07-2024
Home insurance premium,Insurance,3394,10-07-2024
Health checkup,Medical,4015,10-07-2024
Bought medicines,Medical,1925,10-07-2024
Paid electricity bill,Utilities,1813,11-07-2024
Clothes shopping,Shopping,570,11-07-2024
Game purchase,Entertainment,1066,11-07-2024
Skincare products,Personal Care,166,12-07-2024
Bought vegetables and fruits,Groceries,2483,12-07-2024
Advance rent for flat,Rent,633,13-07-2024
Flight booking to Delhi,Travel,444,13-07-2024
Flight booking to Delhi,Travel,3838,13-07-2024
Doctor consultation,Medical,2818,14-07-2024
Bought a watch,Shopping,4217,14-07-2024
Travel package booking,Travel,3910,14-07-2024
Cab booking for trip,Travel,323,15-07-2024
Skincare products,Personal Care,2063,15-07-2024
Paid house rent,Rent,4483,16-07-2024
Bought vegetables and fruits,Groceries,1439,16-07-2024
Swiggy food order,Dining,3616,16-07-2024
Metro card recharge,Transport,4752,17-07-2024
Dinner at KFC,Dining,215,17-07-2024
Paid electricity bill,Utilities,1617,17-07-2024
Home insurance premium,Insurance,778,18-07-2024
Purchased milk and bread,Groceries,2093,18-07-2024
Bought vegetables and fruits,Groceries,4247,18-07-2024
Internet subscription,Utilities,3546,19-07-2024
Taxi to airport,Transport,828,19-07-2024
Amusement park visit,Entertainment,263,20-07-2024
Mobile recharge,Utilities,3812,20-07-2024
Spotify premium payment,Entertainment,1626,20-07-2024
Ordered pizza,Dining,2498,21-07-2024
Exam registration fee,Education,2986,21-07-2024
Bought rice and lentils,Groceries,3167,21-07-2024
Purchased milk and bread,Groceries,641,22-07-2024
Game purchase,Entertainment,2770,22-07-2024
Water bill payment,Utilities,763,22-07-2024
Tuition fees payment,Education,985,23-07-2024
Travel package booking,Travel,4387,23-07-2024
Purchased a handbag,Shopping,51,24-07-2024
Filled petrol,Transport,2898,24-07-2024
Mobile recharge,Utilities,4094,24-07-2024
Rent for PG,Rent,1999,25-07-2024
Purchased milk and bread,Groceries,967,25-07-2024
Haircut at salon,Personal Care,3224,25-07-2024
Room rent payment,Rent,2291,26-07-2024
Amusement park visit,Entertainment,139,26-07-2024
Grocery shopping at local store,Groceries,1759,26-07-2024
Paid house rent,Rent,2219,27-07-2024
Filled petrol,Transport,4288,27-07-2024
Insurance renewal,Insurance,3091,28-07-2024
Mobile recharge,Utilities,155,28-07-2024
Doctor consultation,Medical,936,28-07-2024
Bought new shoes,Shopping,477,29-07-2024
Purchased a handbag,Shopping,1945,29-07-2024
Purchased a handbag,Shopping,366,29-07-2024
Lunch with friends,Dining,684,30-07-2024
Bus fare,Transport,1975,30-07-2024
Paid house rent,Rent,2106,30-07-2024
Cab booking for trip,Travel,3194,31-07-2024
Life insurance policy,Insurance,2320,31-07-2024
Paid house rent,Rent,1489,01-08-2024
Advance rent for flat,Rent,602,01-08-2024
Travel package booking,Travel,765,01-08-2024
Netflix subscription,Entertainment,3961,02-08-2024
Bought vegetables and fruits,Groceries,1763,02-08-2024
Dinner at KFC,Dining,3439,02-08-2024
Rent for PG,Rent,1157,03-08-2024
Facial treatment,Personal Care,4256,03-08-2024
Grocery shopping at local store,Groceries,300,04-08-2024
Car insurance payment,Insurance,2480,04-08-2024
Bought a watch,Shopping,2104,04-08-2024
Haircut at salon,Personal Care,508,05-08-2024
Breakfast at cafe,Dining,257,05-08-2024
Bought rice and lentils,Groceries,949,05-08-2024
Paid house rent,Rent,3511,06-08-2024
Home insurance premium,Insurance,3435,06-08-2024
Bought medicines,Medical,71,06-08-2024
Hotel reservation,Travel,459,07-08-2024
Manicure session,Personal Care,944,07-08-2024
Uber ride to office,Transport,564,08-08-2024
Metro card recharge,Transport,4954,08-08-2024
Metro card recharge,Transport,4159,08-08-2024
Travel package booking,Travel,2184,09-08-2024
Dental check-up,Medical,3645,09-08-2024
Rent for PG,Rent,3006,09-08-2024
Facial treatment,Personal Care,1610,10-08-2024
Netflix subscription,Entertainment,1316,10-08-2024
Netflix subscription,Entertainment,2219,10-08-2024
Internet subscription,Utilities,3688,11-08-2024
Room rent payment,Rent,799,11-08-2024
Ordered pizza,Dining,3477,12-08-2024
Life insurance policy,Insurance,4830,12-08-2024
Train ticket purchase,Travel,1977,12-08-2024
Tuition fees payment,Education,3854,13-08-2024
Insurance renewal,Insurance,3752,13-08-2024
Dinner at KFC,Dining,2406,13-08-2024
Lunch with friends,Dining,4840,14-08-2024
Paid house rent,Rent,2385,14-08-2024
Metro card recharge,Transport,356,14-08-2024
Paid house rent,Rent,3715,15-08-2024
Doctor consultation,Medical,2039,15-08-2024
Bought a watch,Shopping,711,16-08-2024
Weekly grocery run,Groceries,4694,16-08-2024
Dental check-up,Medical,361,16-08-2024
Travel package booking,Travel,2970,17-08-2024
Game purchase,Entertainment,1132,17-08-2024
Car insurance payment,Insurance,3021,17-08-2024
Doctor consultation,Medical,804,18-08-2024
Advance rent for flat,Rent,4180,18-08-2024
Travel package booking,Travel,4590,18-08-2024
Cab booking for trip,Travel,402,19-08-2024
Taxi to airport,Transport,952,19-08-2024
Haircut at salon,Personal Care,3938,20-08-2024
Haircut at salon,Personal Care,208,20-08-2024
Bought college books,Education,2027,20-08-2024
Eye test at optician,Medical,1006,21-08-2024
Online course subscription,Education,2121,21-08-2024
Rent for PG,Rent,453,21-08-2024
Grocery shopping at local store,Groceries,4661,22-08-2024
Bought vegetables and fruits,Groceries,2829,22-08-2024
Clothes shopping,Shopping,1437,22-08-2024
Car insurance payment,Insurance,3503,23-08-2024
Advance rent for flat,Rent,1005,23-08-2024
Advance rent for flat,Rent,1762,24-08-2024
Bought new shoes,Shopping,4753,24-08-2024
Filled petrol,Transport,1323,24-08-2024
Purchased milk and bread,Groceries,3861,25-08-2024
Train ticket purchase,Travel,2675,25-08-2024
Paid health insurance premium,Insurance,2432,25-08-2024
Bought shampoo and soap,Personal Care,1491,26-08-2024
Facial treatment,Personal Care,3029,26-08-2024
Purchased a handbag,Shopping,1847,27-08-2024
Tuition fees payment,Education,4440,27-08-2024
Filled petrol,Transport,4059,27-08-2024
Advance rent for flat,Rent,4900,28-08-2024
Paid house rent,Rent,1444,28-08-2024
Clothes shopping,Shopping,4331,28-08-2024
Metro card recharge,Transport,1319,29-08-2024
Facial treatment,Personal Care,4782,29-08-2024
Purchased milk and bread,Groceries,3764,29-08-2024
Bought a watch,Shopping,579,30-08-2024
Paid health insurance premium,Insurance,3673,30-08-2024
Clothes shopping,Shopping,3008,31-08-2024
Netflix subscription,Entertainment,2964,31-08-2024
Bought new shoes,Shopping,4939,31-08-2024
Game purchase,Entertainment,3641,01-09-2024
Amusement park visit,Entertainment,2197,01-09-2024
Swiggy food order,Dining,4623,01-09-2024
Metro card recharge,Transport,3419,02-09-2024
Bought a watch,Shopping,989,02-09-2024
Bought medicines,Medical,575,02-09-2024
Purchased milk and bread,Groceries,51,03-09-2024
Monthly rent for apartment,Rent,424,03-09-2024
Online shopping on Amazon,Shopping,2390,04-09-2024
Health checkup,Medical,4055,04-09-2024
Tuition fees payment,Education,3102,04-09-2024
Amusement park visit,Entertainment,4698,05-09-2024
Bought college books,Education,2415,05-09-2024
Health checkup,Medical,1575,05-09-2024
Advance rent for flat,Rent,4526,06-09-2024
Paid house rent,Rent,1696,06-09-2024
Eye test at optician,Medical,63,06-09-2024
Bought shampoo and soap,Personal Care,4649,07-09-2024
Paid electricity bill,Utilities,2328,07-09-2024
Paid health insurance premium,Insurance,3205,08-09-2024
Weekly grocery run,Groceries,179,08-09-2024
Manicure session,Personal Care,3864,08-09-2024
Game purchase,Entertainment,4983,09-09-2024
Swiggy food order,Dining,3266,09-09-2024
Bought medicines,Medical,2988,09-09-2024
Train ticket purchase,Travel,3978,10-09-2024
Monthly rent for apartment,Rent,2090,10-09-2024
Bought a watch,Shopping,77,10-09-2024
Paid health insurance premium,Insurance,2163,11-09-2024
Game purchase,Entertainment,1302,11-09-2024
Car insurance payment,Insurance,4406,12-09-2024
Ordered pizza,Dining,2096,12-09-2024
Filled petrol,Transport,4605,12-09-2024
Filled petrol,Transport,4073,13-09-2024
Manicure session,Personal Care,4446,13-09-2024
Cab booking for trip,Travel,3424,13-09-2024
Home insurance premium,Insurance,3516,14-09-2024
Clothes shopping,Shopping,3131,14-09-2024
